name,party,person_id,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21,vote_22,vote_23,vote_24,vote_25,vote_26,vote_27,vote_28,vote_29,vote_30,comment_1,comment_2,comment_3,comment_4,comment_5,comment_6,comment_7,comment_8,comment_9,comment_10,comment_11,comment_12,comment_13,comment_14,comment_15,comment_16,comment_17,comment_18,comment_19,comment_20,comment_21,comment_22,comment_23,comment_24,comment_25,comment_26,comment_27,comment_28,comment_29,comment_30
"Dalia Kuodytė","Lietuvos Respublikos liberalų sąjūdis",760,3,3,1,0,4,1,1,4,4,1,4,4,4,4,1,4,4,4,4,1,4,1,3,4,3,1,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dalius Dirsė","Lietuvos Respublikos liberalų sąjūdis",674,3,4,2,2,2,2,2,2,1,2,1,3,2,4,2,2,3,2,4,2,4,3,2,3,4,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darius Stankus","Lietuvos Respublikos liberalų sąjūdis",1277,4,4,2,2,4,1,2,3,3,1,3,4,2,3,2,3,4,1,4,2,4,1,3,4,3,1,4,3,4,2,"Siekis, kad daugiau žmonių uždirbtų didesnę nei minimalią algą.","Socialinę paramą turi gauti tik tie, kuriems iš tikrųjų jos labiausiai reikia, ji turi būti skirstoma atsakingai ir efektyviai.",,"Turi būti vengiama neatsakingo išlaidavimo.","Vieninga mokesčių sistema.",,,,,,,,,,,,,,,,,,,,,,,,,
"Eugenijus Gentvilas","Lietuvos Respublikos liberalų sąjūdis",1280,4,4,2,2,4,1,2,3,3,1,4,4,2,3,1,4,4,1,4,2,4,1,3,4,2,1,4,3,4,1,"Turime siekti, kad daugiau žmonių uždirbtų daugiau, nei minimalią alga.","Socialinę paramą turime skirstyti efektyviai ir ją turi gauti tie, kuriems jos labiausiai reikia.","Viešasis sektorius turi būti orientuotas į paslaugos vartotoją ir tapti patrauklia vieta dirbti.","Neatsakingas išlaidavimas krizę gali tik pagilinti.","Mokesčių sistema turėtų būti vieninga.",,,,"Ne bausmės dydis, o bausmės
neišvengiamumas lemia nusikalstamumo lygį.","Vardas ir pavardė yra žmogaus asmeninė nuosavybė, todėl asmens tapatybės dokumentuose turi būti galimybė juos rašyti lotyniškos
abėcėlės rašmenimis.",,,,,,,,,,,,,,,,,,,,
"Gediminas Jegelevičius","Lietuvos Respublikos liberalų sąjūdis",123,4,4,3,4,1,1,1,1,2,1,4,2,2,3,4,3,4,1,4,4,4,2,4,4,3,1,4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giedrė Mendoza Herrera","Lietuvos Respublikos liberalų sąjūdis",1267,4,4,2,2,4,2,3,1,3,1,2,4,2,4,1,4,3,1,4,1,4,1,3,4,4,1,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gintaras Steponavičius","Lietuvos Respublikos liberalų sąjūdis",116,4,4,1,2,4,1,1,3,4,1,4,4,2,4,1,4,4,1,3,1,4,1,4,1,3,1,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gintaras Šurna","Lietuvos Respublikos liberalų sąjūdis",1282,4,4,1,2,4,1,1,1,3,1,4,2,3,4,1,4,4,2,4,1,4,1,2,4,4,1,4,4,4,1,"NPD didinimas ir darbo jėgos apmokestinimo mažinimas.",,"Viešąsias paslaugas  perkelti į elektroninę erdvę. Naikinti besidubliuojančias institucijas.","Neatmestinas ir skolinimasis, bet tik investicijoms ir palankiomis sąlygomis","Palaipsniui iki 18 proc. sumažinti bendrą PVM",,,,"Alternatyvios bausmės ir jų neišvengiamumas.",,,,,,,,,,,,"Vakarų Europos šalys nepatyrė sovietmečio.",,,,,,,"Gaudami ES finansinę paramą privalome dalintis pabėgeliais.",,
"Gintaras Vaičekauskas","Lietuvos Respublikos liberalų sąjūdis",1275,4,4,1,2,4,1,2,3,2,1,4,3,1,3,2,4,4,1,4,1,4,1,1,4,4,1,4,2,4,1,"Žmonės turi uždirbti daugiau, nei MA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gintautas Bartulis","Lietuvos Respublikos liberalų sąjūdis",1255,4,4,2,2,4,1,1,1,1,2,2,3,2,4,1,4,4,1,4,1,4,1,1,4,1,1,4,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jolita Vaickienė","Lietuvos Respublikos liberalų sąjūdis",1260,4,4,1,1,4,1,4,1,4,1,4,4,4,4,1,4,4,2,4,1,4,1,4,4,4,1,4,4,4,1,,,,"Reikalingos ir struktūrinės reformos ir paskolos","PVM sumažinimas negarantuoja kainų mažėjimo","LR konkurencijos taryba turi dirbti efektyviai","Turi būti subalansuoti santykiai",,"Bausmės turi būti neišvengiamos",,"Svarstytina galimybė pardavinėti Specializuotose Privačiose parduotuvėse",,,,,,,"Reikalinga principinga ES pozicija dėl Astravo ae saugumo",,"Turi būti bendra ES politika",,,,,,,,,,
"Julija Mackevič","Lietuvos Respublikos liberalų sąjūdis",1274,3,4,2,2,1,1,2,2,2,1,4,4,1,4,2,4,4,3,4,1,1,1,2,4,4,1,2,3,4,1,"Jeigu bloginsime verslui sąlygas, tai ir atlyginimai nedidės.","Lietuvoje jau ir taip dideli mokesčiai","Reikia kalbėti apie valstybės paslaugų efektyvumą, o ne apie darbuotojų skaičių.",,"Reikia mažinti PVM apskritai, neskirstant į produktus ir paslaugas.",,"Gerą darbuotoją darbdavys niekada neatleis, bet reikalingos garantijos atskiroms darbuotojų kategorijoms, pvz. moterys su nepilnamečiais vaikais, žmonės su negalia ir t.t.",,,"Asmens dokumentas tai yra kiekvieno žmogaus nuosavybė, ir jis turi teisę spręsti kokio raidyno raidėmis bus rašomi jo vardas/pavardė.","Aš esu prieš valstybės monopoliją.","Lietuvai reikalinga papildoma darbo jėga ir „smegenys“.","Piliečių privataus gyvenimoapbribojimai gali būti tik esant teismo sprendimui ir tik išskirtiniais atvejais.","Kiekviena vieša protesto akcija yra svarbi demokratinėje valstybėje",,,,"Traukinys jau nuvažiavo, Lietuvos politikams reikėjo anksčiau galvoti, o ne prieš rinkimus.",,,,,,,,,"Labai gaila, bet vyriausybė neišnaudojo visų galimybių, dėl kurių Lietuva greitu tempu įvedinėjo eurą.",,,"Internetinis balsavimas turi būti įvestas tik tada, kai bus įdiegta sistema, kuri minimalizuotų neskaidrių rinkimų riziką."
"Linas Kvedaravičius","Lietuvos Respublikos liberalų sąjūdis",1070,4,4,2,3,4,1,2,1,2,1,4,4,2,4,2,4,4,2,4,1,3,1,3,4,3,2,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mantas Reutas","Lietuvos Respublikos liberalų sąjūdis",1251,4,4,2,2,4,2,2,2,4,1,4,4,3,4,1,4,4,4,3,1,4,1,4,4,4,2,2,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marijus Kaukėnas","Lietuvos Respublikos liberalų sąjūdis",233,4,4,3,3,3,1,2,2,2,2,4,3,3,4,2,2,4,2,3,2,4,2,3,3,3,1,3,2,3,1,"Minimali alga turi būti susieta su valstybės finansiniais rodikliais.",,"Viešojo sektoriaus darbuotojų skaičius turi būti mažinamas ten, kur yra perteklinis nenaikinant būtinų paslaugų gyventojams.","Diržų veržimosi politika turi būti naudojama tiktai kritiniais atvejais. Tačiau valstybės išlaidos turi neviršyti leistinų normų.","Valstybė turi mažinti PVM iki buvusių prieš ekonominę krizę 18 procentų.",,"Tuo pačiu valstybė darbuotojams turi sudaryti palankias sąlygas, nenutraukus darbinių santykių įgyti kitą (paklausią) profesiją.","Kiekviena valstybė turi prisiimti atsakomybę už aplinkos apsaugą ir perdavimą ateities kartoms.",,,"Alkoholio vartojimo problemą reikia spręsti švietimo pagalba nuo pat darželio. Prekyba alkoholiu nėra valstybės funkcija.","Reikia vykdyti prisiimtus ES įsipareigojimus, tačiau procesas turi būti kontroliuojamas. Turi būti sudarytos palankios sąlygos verslų ir kvalifikuotų specialistų iš trečiųjų šalių perkėlimui į Lietuvą.",,,"Kiekvienas pilietis turi turėti teisę tvarkyti savo turtinius ir teisinius klausimus su kitu piliečiu nepriklausomai nuo lyties.","Esant sparčiam gyventojų mažėjimui ir siekiant išsaugoti kiek įmanoma daugiau gyvybių, būtina vertinti kiekvieną užsimezgusią gyvybę. Būtina išbandyti visas įmanomas (etiškas) priemones siekiant pakeisti moters apsisprendimą tokiais atvejais. Tačiau tuo pačiu moteris negali būti verčiama prievartos būdu daryti pasirinkimą prieš savo valią.","Sovietinis Lietuvos istorijos periodas nėra tas, kuriam reiktų reikšti sentimentus.","Tai yra potenciali grėsmė Lietuvos valstybės ir jos gyventojui saugumui.",,"Lietuvos sankcijų politika turi būti sinchroniška su ES sankcijų politika.","Keliai ir miestai būtų statomi nepriklausomai nuo santvarkos.","Turime siekti įsipareigojimų NATO vykdymo. Tačiau krašto apsaugos išlaidos turi būti kiek įmanoma skaidresnės.",,"Neturėtumėme švęsti savo valstybės okupacijos pradžios.","Artimiausius kelis metus ne.","Turime vertinti kiekvieną lietuvį.",,"Lietuva gaudama iš ES didžiulį finansavimą turi tuo pačiu palaikyti ir bendrą ES politiką. Tačiau bet kokios kvotos turi būti nustatytos tik abipusiu sutarimu.","Šiuo metu esama sistema yra optimali.","Vien dėl šimtų tūkstančių išeivių tokia galimybė turi būti numatyta."
"Marius Čeponas","Lietuvos Respublikos liberalų sąjūdis",1276,4,4,1,1,2,1,2,2,3,1,3,3,2,2,2,3,0,4,2,1,2,1,3,3,2,2,4,2,2,1,"Valstybė turėtų didinti NPD, kas skatintų darbdavius mokėti didesnes algas.","Valstybė turėtų efektyvinti socialinių paslaugų teikimą, perduodant dalį funkcijų visuomeninėms organizacijoms, kurios dirba su mažesniais kaštais.",,"Graikijos pavyzdys parodo prie ko priveda neatsakingas skolinimasis.","sunkiai gyvenantiems ir sumažintume, žmonių važiuojančių apsipirkti į kaimynines valstybes kiekį.",,"Bet taip pat turi būti numatyti saugikliai, kad įmonės tuo nepiknaudžiautų.",,"Ir dabar Lietuva pasižymi vienomis griežčiausių bausmių.",,"Draudimas nėra geriausia prevencijos priemonė.","Lietuvai reikalingi specialistai ir kiti darbštūs žmonės, nesvarbu iš kokios šalies jie yra.",,,,"Visiskai uždraudus abortus, prasidėtų nelegali abortų rinka.",,"pripažinti, kad Lietuva negali priversti Baltarusijos sustabdyti šį projektą, todėl neverta bloginti santykių.","Neturi būti draudžiama, jei tai neiššaukia konflikto ir nenaudojama nesantaikai kurstyti.","Jei tai yra bendras europos sprendimas, Lietuva privalo jo laikytis.",,,,,,"Efektyvesnė yra profesionali kariuomenė, kai kariai gauna atlygį už savo tarnybą.",,"Yra ir kitų būdų spręsti pabėgėlių klausimą.",,"Internetinis balsavimas padidintų dalyvaujančių rinkimuose skaičių."
"Marius Gorochovskis","Lietuvos Respublikos liberalų sąjūdis",1286,4,4,1,2,4,2,2,2,4,1,3,4,1,4,1,4,3,1,4,1,4,1,3,4,3,1,4,4,4,2,"Tai yra žalinga daugumai šalies gyventojų","Kai kurie mokesčių tarifai yra pakankamai aukšti","Tik profesionalūs darbuotojai gali teikti kokybiškas paslaugas","Labai svarbu sąlygos, kokiomis galėtų vykti skolinimasis.","Iš esmės tai neatneštų laukiamo rezultato.","ES ir eurozona ir taip apribojo reguliacijos galimybes.","Lengviau nei dabar – taip, tačiau interesų pusiausvyra turėtų būti išlaikyta.","Mūsų indėlis pasaulyje yra mažas, tačiau pasekmes jausime bendras.","Lietuvoje ir taip neproporcingai daug kalinių","Gerbkime savo piliečius ir apsaugokime juos nuo teisinių pasekmių","Alkoholio vartojimas yra didžiulė problema šalyje, tačiau priemonės su tuo kovoti turi būti adekvačios.","Lietuvai reikia įvairiose srityse dirbančių žmonių, galinčių prisidėti prie ekonomikos skatinimo.","Institucijos labai dažnai lieka anoniminės, neprisiima asmeninės atsakomybės, tad gali ir viršija savo įgaliojimus","Susirinkimų laisvė – viena kertinių demokratijoje. Būtina apsaugoti dalyvius ir aplinkinius, tačiau suteikti teisę išreikšti savo poziciją.","Negalimas diskiminavimas nei lyties, nei lytinės orientacijos pagrindu","Teisė į abortą ir dirbtinį apvaisinimą – neatsiejama nuo moters ir šeimos teisės ir pagarbos joms.","Po visų viešųjų diskusijų, šis objektas įgijo per daug neigiamo krūvio ir turėtų būti vertinamas kaip kiti sovietų simboliai.","Tai ne vietinės, o europinio saugumo reikšmės klausimas","Turi galioti toks pat principas kaip ir nacistinei simbolikai","Turime taikyti patys ir raginti kitus daryti tą patį.","Tą laikotarpį vertinu labiau kaip išnaudojimo, o ne galimybių laiką.","Santykiai su Rusija nepagerės, jei mes atsisakysime karybos, o įsipareigojimus NATO vykdyti turime.","Tai nėra nei realistiška, nei tikslinga.","Lietuvos pozicija apie šią Rusijos šventę turėtų būti labai vienareikšmė ir nuosekli.","Protingai sutvarkyta, gerai aprūpinta šauktinių bazė yra svarbi šiuo laikotarpiu.","Sąlygas derinti galima, bet esu už plačią dvigubos pilietybės galimybę.","Kainų augimas – labiausiai matoma dalis, tačiau atnešė naudos kitose, makro srityse.","ES esame mes visi, tai yra bendras susitarimas, o ne išorės primetimas.","Rinkimai taptų šou, o svarbioms ir rimtoms temoms rinkimų metu vietos nebeliktų apskritai.","Mūsų šalyje neskaidrūs rinkimai ir taip labai paplitę – tai neturi būti argumentas prieš. Įžvelgiu daugiau privalumų."
"Marius Kapočius","Lietuvos Respublikos liberalų sąjūdis",1359,4,4,1,1,3,1,1,3,4,1,4,4,3,4,1,4,4,1,1,1,4,1,2,4,1,1,4,4,4,1,,,,,"PVM turėtų mažėti apskritai.",,,,,,,,"Turi būti išlaikytas žmogaus privatumo ir saugumo balansas. Klausytis pokalbių turėtų būti galima tik turint rimtų įtarimų.",,,,,,,,,,,,"Ilgainiui turime pereiti prie profesionalios kariuomenės ir tarnybai kviesti tik savanorius. Turi būti sukurta motyvavimo sistema atlikti karinę tarnybą.",,,,,
"Martynas Nagevičius","Lietuvos Respublikos liberalų sąjūdis",970,4,4,1,3,2,2,1,1,4,1,4,4,1,4,1,4,3,1,4,1,4,1,0,3,1,1,4,4,4,2,"Minimalios algos nustatymas pažeidžia žmonių, norinčių įrodyti savo sugebėjimus, galimybes tai padaryti, investuojant savo negautas pajamas į ateitį. Taip pat – lėtina ekonominį augimą, tuo pačiu – atlyginimų kilimą.","Didinti reikia ne mokesčių tarifus, o iš mokesčių surenkamas Valstybės biudžeto pajamas","Viešojo sektoriaus darbuotojų skaičius turi būti sumažintas, bet turi būti smarkiai didinami viešojo sektoriaus darbuotojų atlyginimai, priimant aukšto lygio profesionalus į valstybės tarnybą, kurie užtikrinti geresnio lygio valstybės teikiamas pajamas, net esant mažesniam viešojo sektoriaus darbuotojų skaičiui","Abu kraštutinumai yra blogi, šiuo atveju reikalingas teisingas kompromisas","PVM turi būti mažinamas visiems produktams, kiek galima labiau vengiant visokių išimčių. PVM tarifo mažinimas visai nebūtinai reiškia biudžeto įplaukų sumažėjimą, nes didėja mokestinė bazė –auga vartojimas , mažėja šešėlinė rinka, mažėja pirkimas gretimose šalyse","Valstybė turi nustatyti tam tikras žaidimo taisykles, kurios motyvuotų visus rinkos dalyvius elgtis taip, kaip naudingiausia Valstybei, bet neturi savo rankomis ar kapitalu bandyti įtakoti konkrečius sperndimus","Kuo lengvesnis yra darbuotojų atleidimas, tuo lengviau yra keisti darbą, įsidarbinti","Klimato kaitos stabdymas nereiškia ekonominių nuostolių. Atvirkščiai – dažniausiai tai yra naudinga ekonomikai","Ne bausmės griežtumas mažina nusikalstamumą, o jos neišvengiamumas",,,"Imigracija turėtų būti kontroliuojama, o ne stabdoma. Imigracija gali būti net labai naudinga Lietuvai.",,,,,"Žaliojo tilto skulptūrų išlaikymas parodytų, kad Lietuvos piliečiai jau sugeba į sovietmetį žiūrėti tik kaip į istoriją, kad nuo sovietmečio ligų mes galutinai pasveikom. Bet kadangi taip realiai dar nėra, kadangi žmonėms dar skauda, šių skulptūrų išlaikymas neturėtų būti daromas dirbtinai, nepaisant šių žmonių skausmo",,,,,,,"Gegužės 9-os minėjime Lietuvos vadovai galėtų ir turėtų dalyvauti, kai tai taps ne sovietinės sistemos liauspinimo švente, o žuvusių per II Pasaulinį karą pagerbimu",,,,,,
"Pavel Kovtunec","Lietuvos Respublikos liberalų sąjūdis",1363,4,3,2,3,3,1,1,3,2,1,4,4,1,4,1,4,4,1,3,2,4,1,3,4,2,1,4,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ramūnas Bielevičius","Lietuvos Respublikos liberalų sąjūdis",1264,4,4,0,4,0,1,1,2,3,1,4,4,2,4,1,4,4,1,4,1,4,1,1,4,2,1,4,4,4,0,,,"Sumažinti reikia, bet paslaugos neturi nukentėti",,"Sumažinti palaipsniu PVM ne tik maisto produktams",,,,,,,,,,,,,"Santykių bloginti nereikia",,,,,,,"Profesionali kariuomenė su šauktiniais ekstra atvejais",,,,,"Internetinis skaidrus balsavimas"
"Ramūnas Maciukevičius","Lietuvos Respublikos liberalų sąjūdis",1273,4,4,2,3,2,1,1,2,3,1,4,4,1,4,1,3,3,3,3,1,4,1,1,3,1,1,3,2,3,1,,,,,"laikina priemonė, kol valstybėje yra kritinis skaičius skurstančių. Pagerėjus situacija turėtume sugrįžti prie vienodų tarifų.",,,,,,,,,,,,,"Tai reikėjo daryti anksčiau, dabar, kai statybos įsibėgėjo tai panašu į kovą su vėjo malūnais. Turime reikalauti, kad ji atitiktų tarptautinius sagumo reikalavimus.","Turi būti draudžiama, bet neperlenkiant lazdos.",,,,,,"Taip, kai Lietuva bus pakankamai stipri finansiškai, kad išlaikytų stipria profesionalią kariuomenę.",,,"Vienasmeniškai neturi, bet turi atsižvelgti į Lietuvos galimybes. Tai derybų klausimas.",,
"Regina Rupšienė","Lietuvos Respublikos liberalų sąjūdis",1285,4,4,2,4,1,2,2,2,3,1,1,4,2,4,2,3,3,2,4,3,3,2,3,4,3,1,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remigijus Osauskas","Lietuvos Respublikos liberalų sąjūdis",962,4,4,2,2,4,1,1,2,3,1,3,4,1,4,1,3,4,1,4,1,4,1,2,4,3,1,4,3,4,1,"Prioritetas – didesnis vidutinis mėnesinis atlygis","Socialinė parama turi būti skiriama tik tiems, kam jos labiausiai reikia",,"Išlaidavimas gali tik didinti krizę.",,,,,"Nusikalstamumo lygį lemia tikrai ne bausmės dydis. Nusikaltimų išaiškinimas – tai lemtų nusikalstamumo lygio mažėjimą.",,,,,,,,,,,,,,,,,,,,,
"Rimantas Mikaitis","Lietuvos Respublikos liberalų sąjūdis",235,4,4,2,2,4,1,2,3,3,1,4,4,2,3,2,4,3,1,3,1,4,1,3,4,2,1,4,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rimantas Remeika","Lietuvos Respublikos liberalų sąjūdis",104,4,4,3,3,3,1,2,2,3,1,2,3,1,4,2,4,3,2,3,3,3,1,2,3,1,1,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rita Balčiūnienė","Lietuvos Respublikos liberalų sąjūdis",1347,3,4,1,2,1,4,1,1,4,2,4,4,2,4,2,3,4,2,4,2,4,2,4,4,4,1,3,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
